"region_city","city_name","habitantes","cnae_secao","cnae_divisao","cnae_grupo","cnae_classe","cnae_subclasse","pct_cnae_secao","pct_cnae_divisao","pct_cnae_grupo","pct_cnae_classe","pct_cnae_subclasse"
"5203",SANTO ANTONIO DO ITAMBE,3838,17,33,59,82,100,0.80952380952380952381,0.37931034482758620690,0.20701754385964912281,0.12184249628528974740,0.07524454477050413845
"1185",SANTA LUZ,5860,17,37,60,82,100,0.80952380952380952381,0.42528735632183908046,0.21052631578947368421,0.12184249628528974740,0.07524454477050413845
"9947",GODOY MOREIRA,2946,15,30,56,82,100,0.71428571428571428571,0.34482758620689655172,0.19649122807017543860,0.12184249628528974740,0.07524454477050413845
"2113",OURO VELHO,3039,16,35,56,79,100,0.76190476190476190476,0.40229885057471264368,0.19649122807017543860,0.11738484398216939079,0.07524454477050413845
"194",MARANHAOZINHO,16265,15,34,56,80,100,0.71428571428571428571,0.39080459770114942529,0.19649122807017543860,0.11887072808320950966,0.07524454477050413845
"1955",BORBOREMA,5263,15,35,54,80,100,0.71428571428571428571,0.40229885057471264368,0.18947368421052631579,0.11887072808320950966,0.07524454477050413845
"4907",OLARIA,1747,17,40,68,87,100,0.80952380952380952381,0.45977011494252873563,0.23859649122807017544,0.12927191679049034175,0.07524454477050413845
"1275",TARRAFAS,8592,18,34,54,83,100,0.85714285714285714286,0.39080459770114942529,0.18947368421052631579,0.12332838038632986627,0.07524454477050413845
"136",BURITIRANA,15430,14,35,62,85,100,0.66666666666666666667,0.40229885057471264368,0.21754385964912280702,0.12630014858841010401,0.07524454477050413845
"4849",MONJOLOS,2220,18,39,62,84,99,0.85714285714285714286,0.44827586206896551724,0.21754385964912280702,0.12481426448736998514,0.07449209932279909707
"1379",SIGEFREDO PACHECO,10041,15,32,59,83,99,0.71428571428571428571,0.36781609195402298851,0.20701754385964912281,0.12332838038632986627,0.07449209932279909707
"6243",BORA,837,17,34,58,83,99,0.80952380952380952381,0.39080459770114942529,0.20350877192982456140,0.12332838038632986627,0.07449209932279909707
"1227",VARZEA GRANDE,4391,17,39,59,88,99,0.80952380952380952381,0.44827586206896551724,0.20701754385964912281,0.13075780089153046062,0.07449209932279909707
"2173",SANTANA DOS GARROTES,7031,16,37,65,86,99,0.76190476190476190476,0.42528735632183908046,0.22807017543859649123,0.12778603268945022288,0.07449209932279909707
"9537",PINDORAMA DO TOCANTINS,4447,17,34,58,79,99,0.80952380952380952381,0.39080459770114942529,0.20350877192982456140,0.11738484398216939079,0.07449209932279909707
"341",BOM JESUS DO TOCANTINS,4894,15,35,55,83,99,0.71428571428571428571,0.40229885057471264368,0.19298245614035087719,0.12332838038632986627,0.07449209932279909707
"4103",BANDEIRA,4795,15,35,55,81,99,0.71428571428571428571,0.40229885057471264368,0.19298245614035087719,0.12035661218424962853,0.07449209932279909707
"628",INDAIABIRA,7351,17,36,62,81,99,0.80952380952380952381,0.41379310344827586207,0.21754385964912280702,0.12035661218424962853,0.07449209932279909707
